"Länderarbeitskreis Energiebilanzen"
"Indikatoren CO2-Emissionen *)"
"Einheit: Indikator Zur Definition bitte Methodendokumentation beachten"
" "
Land;Jahr;Anm;"CO2-Emissionen je Einwohner (1000 t / EW)";Stand
Berlin;2012;LAK3);5.224674036200927;10.03.2022
Berlin;2013;LAK3);5.358345596592627;10.03.2022
Berlin;2014;LAK3);5.036825835248345;10.03.2022
Berlin;2015;LAK3);4.803952078539948;10.03.2022
Berlin;2016;LAK3);4.858188244430918;27.08.2025
Berlin;2017;LAK3);4.735589472848242;27.08.2025
Berlin;2018;LAK3);4.412204080446297;27.08.2025
Berlin;2019;LAK3);4.051791744477369;27.08.2025
Berlin;2020;;3.686669724793966;27.08.2025
Berlin;2021;;3.817406317382911;27.08.2025
Berlin;2022;;3.5740841130520877;27.08.2025
Berlin;2023;;3.3703024308582394;20.11.2025
Berlin;2024;p);3.142881833306099;20.11.2025
Bremen;1990;" LAK3)";19.789950106750222;10.05.2022
Bremen;1991;" LAK1)";19.8664689527805;25.06.2019
Bremen;1992;" LAK1)";18.81495317126184;25.06.2019
Bremen;1993;" LAK1)";18.28819844389297;25.06.2019
Bremen;1994;" LAK1)";19.617222737813993;13.06.2019
Bremen;1995;" LAK1)";19.606788927632497;13.06.2019
Bremen;1996;" LAK1)";21.16776784149719;13.06.2019
Bremen;1997;" LAK1)";21.210961974442114;13.06.2019
Bremen;1998;" LAK1)";20.90167281297946;13.06.2019
Bremen;1999;" LAK1)";19.505731839806657;13.06.2019
Bremen;2000;" LAK1)";21.581384272891324;18.06.2019
Bremen;2001;" LAK1)";21.759968167787022;18.06.2019
Bremen;2002;" LAK1)";21.54033665435313;18.06.2019
Bremen;2003;" LAK3)";22.497055759347106;10.05.2022
Bremen;2004;" LAK3)";20.0587419985564;10.05.2022
Bremen;2005;" LAK3)";18.80203523877043;10.05.2022
Bremen;2006;" LAK3)";19.561777440882775;10.05.2022
Bremen;2007;" LAK3)";21.04775946789099;10.05.2022
Bremen;2008;" LAK3)";20.21531079432324;10.05.2022
Bremen;2009;" LAK3)";19.537006586217917;10.05.2022
Bremen;2010;" LAK3)";21.644014822608895;10.05.2022
Bremen;2011;" LAK3)";20.365071294077726;18.09.2023
Bremen;2012;" LAK3)";20.613331559943184;18.09.2023
Bremen;2013;" LAK3)";20.78167623828691;15.07.2024
Bremen;2014;" LAK3)";19.584778674594553;15.07.2024
Bremen;2015;" LAK3)";19.999518554717937;18.09.2023
Bremen;2016;" LAK3)";19.064039457025775;15.07.2024
Bremen;2017;" LAK3)";19.62505778017883;03.02.2022
Bremen;2018;" LAK3)";18.204168121165843;14.12.2021
Bremen;2019;;16.732929364165603;14.12.2021
Bremen;2020;;13.411536706397127;07.12.2022
Bremen;2021;;;
Bremen;2022;;;
Bremen;2023;;;
Bremen;2024;;;
Hamburg;1990;" LAK3)";7.762305618332744;30.06.2022
Hamburg;1991;;8.582993090889445;30.06.2022
Hamburg;1992;;7.858340512262822;30.06.2022
Hamburg;1993;;8.207901610016023;30.06.2022
Hamburg;1994;;7.918906048248639;30.06.2022
Hamburg;1995;;7.974038713354621;30.06.2022
Hamburg;1996;;8.63323446902236;30.06.2022
Hamburg;1997;;8.296720851776369;30.06.2022
Hamburg;1998;;;
Hamburg;1999;;;
Hamburg;2000;;;
Hamburg;2001;;;
Hamburg;2002;;;
Hamburg;2003;" LAK3)";7.544612113316656;30.06.2022
Hamburg;2004;" LAK3)";7.524379469000536;30.06.2022
Hamburg;2005;" LAK3)";7.325010188518738;30.06.2022
Hamburg;2006;" LAK3)";7.404566994555694;30.06.2022
Hamburg;2007;" LAK3)";7.063320511117629;30.06.2022
Hamburg;2008;" LAK3)";6.9964702338908875;30.06.2022
Hamburg;2009;" LAK3)";7.0318265811904;30.06.2022
Hamburg;2010;" LAK3)";7.228476942355672;30.06.2022
Hamburg;2011;" LAK3)";6.820909239747516;31.01.2025
Hamburg;2012;" LAK3)";6.691991200425029;31.01.2025
Hamburg;2013;" LAK3)";6.513929578045549;31.01.2025
Hamburg;2014;" LAK3)";7.105900233026812;31.01.2025
Hamburg;2015;" LAK3)";8.764271412989453;31.01.2025
Hamburg;2016;" LAK3)";9.017660050588368;31.01.2025
Hamburg;2017;" LAK3)";9.308287471195747;31.01.2025
Hamburg;2018;" LAK3)";9.453212031568558;31.01.2025
Hamburg;2019;;8.678945302743413;31.01.2025
Hamburg;2020;;6.324290223644271;31.01.2025
Hamburg;2021;;5.697421307168468;01.03.2025
Hamburg;2022;;5.390909374537031;01.06.2025
Hamburg;2023;;4.99270916322982;18.09.2025
Hamburg;2024;" p)";5.038437103016839;31.01.2026
Hessen;1990;" LAK3)";8.803694367742635;25.06.2026
Hessen;1991;" LAK1)";9.338801252371915;16.06.2017
Hessen;1992;" LAK1)";9.26471205551771;16.06.2017
Hessen;1993;" LAK1)";9.47177076378351;16.06.2017
Hessen;1994;" LAK1)";9.451314564231739;16.06.2017
Hessen;1995;" LAK1)";9.45755669234634;16.06.2017
Hessen;1996;" LAK1)";10.068127502504174;16.06.2017
Hessen;1997;" LAK1)";9.609038298865912;16.06.2017
Hessen;1998;" LAK1)";9.5942067206005;16.06.2017
Hessen;1999;" LAK1)";9.169435187468755;16.06.2017
Hessen;2000;" LAK1)";9.340687706254158;16.06.2017
Hessen;2001;" LAK1)";9.628520782262083;16.06.2017
Hessen;2002;" LAK1)";9.143690967313754;16.06.2017
Hessen;2003;" LAK3)";9.232375752197711;14.07.2022
Hessen;2004;" LAK3)";9.110075050605609;14.07.2022
Hessen;2005;" LAK3)";9.056723722397477;14.07.2022
Hessen;2006;" LAK3)";8.871659798568336;14.07.2022
Hessen;2007;" LAK3)";8.517775176902537;14.07.2022
Hessen;2008;" LAK3)";8.739148365095286;14.07.2022
Hessen;2009;" LAK3)";8.249409382116543;14.07.2022
Hessen;2010;" LAK3)";8.450988674819902;14.07.2022
Hessen;2011;" LAK3)";8.055401424510952;14.07.2022
Hessen;2012;" LAK3)";8.143613690584568;14.07.2022
Hessen;2013;" LAK3)";8.096332409551538;14.07.2022
Hessen;2014;" LAK3)";7.741735431986876;14.07.2022
Hessen;2015;" LAK3)";8.05324744192419;14.07.2022
Hessen;2016;" LAK3)";8.223409119190055;14.07.2022
Hessen;2017;" LAK3)";8.06420971037238;14.07.2022
Hessen;2018;" LAK3)";7.831906241938256;14.07.2022
Hessen;2019;;7.858399625425652;14.07.2022
Hessen;2020;;6.226485692608113;08.03.2023
Hessen;2021;;6.579586049365316;20.03.2024
Hessen;2022;;7.075474575479518;28.03.2025
Hessen;2023;;6.724056184117322;26.03.2026
Hessen;2024;" p)";6.7224072155477685;26.03.2026
Rheinland-Pfalz;1990;LAK3);7.354255318937503;30.06.2023
Rheinland-Pfalz;1991;;7.782880214051186;30.06.2023
Rheinland-Pfalz;1992;;7.532121916081117;30.06.2023
Rheinland-Pfalz;1993;;7.772838701449616;30.06.2023
Rheinland-Pfalz;1994;;7.714243902061179;30.06.2023
Rheinland-Pfalz;1995;;7.970552008837254;30.06.2023
Rheinland-Pfalz;1996;;7.9271552974231065;30.06.2023
Rheinland-Pfalz;1997;;7.641063193798802;30.06.2023
Rheinland-Pfalz;1998;;7.783526610646352;30.06.2023
Rheinland-Pfalz;1999;;7.558596364572209;30.06.2023
Rheinland-Pfalz;2000;;7.188026471320089;30.06.2023
Rheinland-Pfalz;2001;;7.348493952098192;30.06.2023
Rheinland-Pfalz;2002;;6.905413468105436;30.06.2023
Rheinland-Pfalz;2003;LAK3);6.672011896055196;30.06.2023
Rheinland-Pfalz;2004;LAK3);6.553050370980952;30.06.2023
Rheinland-Pfalz;2005;LAK3);6.545654466107428;30.06.2023
Rheinland-Pfalz;2006;LAK3);6.7717562071207755;30.06.2023
Rheinland-Pfalz;2007;LAK3);6.561273264328805;30.06.2023
Rheinland-Pfalz;2008;LAK3);6.95756054585134;30.06.2023
Rheinland-Pfalz;2009;LAK3);6.701068345891;30.06.2023
Rheinland-Pfalz;2010;LAK3);6.9714034876546025;30.06.2023
Rheinland-Pfalz;2011;LAK3);6.482448397092335;30.06.2023
Rheinland-Pfalz;2012;LAK3);6.52576611950005;30.06.2023
Rheinland-Pfalz;2013;LAK3);6.812944723735966;30.06.2023
Rheinland-Pfalz;2014;LAK3);6.422594165809514;30.06.2023
Rheinland-Pfalz;2015;LAK3);6.511327504403608;30.06.2023
Rheinland-Pfalz;2016;LAK3);6.60155949405791;30.06.2023
Rheinland-Pfalz;2017;LAK3);6.670530983509075;30.06.2023
Rheinland-Pfalz;2018;LAK3);6.524572106940983;30.06.2023
Rheinland-Pfalz;2019;;6.680046025928283;30.06.2023
Rheinland-Pfalz;2020;;6.465397580108044;30.06.2023
Rheinland-Pfalz;2021;;6.505796604522533;31.08.2023
Rheinland-Pfalz;2022;;5.992681277057156;31.08.2024
Rheinland-Pfalz;2023;;5.552497032278961;31.08.2025
Rheinland-Pfalz;2024;;;
Saarland;1990;;;
Saarland;1991;;;
Saarland;1992;;;
Saarland;1993;;;
Saarland;1994;;;
Saarland;1995;;;
Saarland;1996;;;
Saarland;1997;;;
Saarland;1998;;;
Saarland;1999;;;
Saarland;2000;;;
Saarland;2001;;;
Saarland;2002;;;
Saarland;2003;;;
Saarland;2004;;;
Saarland;2005;;;
Saarland;2006;;;
Saarland;2007;;;
Saarland;2008;;;
Saarland;2009;;;
Saarland;2010;;19.22232268355209;19.06.2019
Saarland;2011;;20.93065292986787;18.11.2020
Saarland;2012;;21.827968570785057;18.11.2020
Saarland;2013;;23.116055363954374;18.11.2020
Saarland;2014;;20.97591090021035;18.11.2020
Saarland;2015;;21.67000398891211;18.11.2020
Saarland;2016;;16.98936434179194;18.11.2020
Saarland;2017;;;
Saarland;2018;;;
Saarland;2019;;12.660007774788633;17.01.2024
Saarland;2020;;11.718926608744955;28.11.2023
Saarland;2021;;13.778251684943756;28.11.2023
Saarland;2022;;13.696810263240955;09.09.2024
Saarland;2023;;12.347058994818182;30.10.2025
Saarland;2024;;;
" "
Anmerkungen:
"*)  Bruttoinlandsprodukt  Berechnungsstand Februar 2026 Einwohner  Durchschnittliche Bevölkerung auf Basis des Zensus 2022"
"p) Vorläufige Zahl"
"LAK1) Neuberechnung auf Basis geänderter CO2-Emissionsfaktoren lt Nationalem Inventarbericht (NIR 2016)"
"LAK3) Details zur Revision unter <a href= ""https://wwwlak-energiebilanzende/methodik-der-energiebilanzen/""> Methodik </a>der Energiebilanzen (Revisionen bis Berichtsjahr 2018 auf Basis NIR 2022)"
"BE1) NIR 2021"

